Record_Date,Security_Type_Description,Security_Class_Description,Debt_Held_by_the_PublicM,Intragovernmental_HoldingsM,Total_Public_Debt_OutstandingM,Source_Line_Number,Fiscal_Year,Fiscal_Quarter_Number,Calendar_Year,Calendar_Quarter_Number,Calendar_Month_Number,Calendar_Day_Number
31/05/2021,Marketable,Bills,4375781.265,1296.42,4377077.685,1,2021,3,2021,2,5,31
31/05/2021,Marketable,Notes,11821156.92,9198.0221,11830354.94,2,2021,3,2021,2,5,31
31/05/2021,Marketable,Bonds,3087149.401,6689.6865,3093839.087,3,2021,3,2021,2,5,31
31/05/2021,Marketable,Treasury Inflation-Protected Securities,1584621.299,702.9199769,1585324.219,4,2021,3,2021,2,5,31
31/05/2021,Marketable,Floating Rate Notes,527386.85,82.445,527469.295,5,2021,3,2021,2,5,31
31/05/2021,Marketable,Federal Financing Bank,0,7261.857,7261.857,6,2021,3,2021,2,5,31
31/05/2021,Total Marketable,_,21396095.74,25231.35058,21421327.09,7,2021,3,2021,2,5,31
31/05/2021,Nonmarketable,Domestic Series,53075.34855,0,53075.34855,8,2021,3,2021,2,5,31
31/05/2021,Nonmarketable,Foreign Series,264.342,0,264.342,9,2021,3,2021,2,5,31
31/05/2021,Nonmarketable,State and Local Government Series,125338.9631,0,125338.9631,10,2021,3,2021,2,5,31
31/05/2021,Nonmarketable,United States Savings Securities,144915.1369,0,144915.1369,11,2021,3,2021,2,5,31
31/05/2021,Nonmarketable,Government Account Series,298295.0893,6152838.115,6451133.204,12,2021,3,2021,2,5,31
31/05/2021,Nonmarketable,Other,2954.593271,0,2954.593271,13,2021,3,2021,2,5,31
31/05/2021,Total Nonmarketable,_,624843.4732,6152838.115,6777680.588,14,2021,3,2021,2,5,31
31/05/2021,Total Public Debt Outstanding,_,22020939.21,6178069.466,28199007.68,15,2021,3,2021,2,5,31
30/04/2021,Marketable,Bills,4538683.424,1366.985,4540050.409,1,2021,3,2021,2,4,30
30/04/2021,Marketable,Notes,11776025.34,7278.8156,11783304.16,2,2021,3,2021,2,4,30
30/04/2021,Marketable,Bonds,3056508.713,6073.5295,3062582.242,3,2021,3,2021,2,4,30
30/04/2021,Marketable,Treasury Inflation-Protected Securities,1561548.09,638.0250615,1562186.115,4,2021,3,2021,2,4,30
30/04/2021,Marketable,Floating Rate Notes,501386.7116,82.445,501469.1566,5,2021,3,2021,2,4,30
